species_id,version_id,language_id,flavor_text
165,6,9,"It is timid and
clusters together
with others. The fluid secreted by
its feet indicates
its location."
166,6,9,"In the daytime
when it gets warm,
it curls up inside a big leaf and
drifts off into
a deep slumber."
167,6,9,"If prey becomes
ensnared in its
nest of spun string, it waits
motionlessly until
it becomes dark."
168,6,9,"Rather than mak�
ing a nest in one
specific spot, it wanders in search
of food after
darkness falls."
169,6,9,"As a result of its
pursuit of faster,
yet more silent flight, a new set
of wings grew on
its hind legs."
170,6,9,"Its antennae, whi�
ch evolved from a
fin, have both po� sitive and neg�
ative charges flo�
wing through them."
171,6,9,"This POKeMON uses
the bright part of
its body, which changed from a
dorsal fin, to
lure prey."
172,6,9,"It is unskilled at
storing electric
power. Any kind of shock causes it to
discharge energy
spontaneously."
173,6,9,"If the impact site
of a meteorite is
found, this POKeMON is certain
to be within the
immediate area."
174,6,9,"Instead of walking
with its short
legs, it moves around by bouncing
on its soft,
tender body."
175,6,9,"It is considered
to be a symbol of
good luck. Its shell is said to
be filled with
happiness."
176,6,9,"Although it does
not flap its wings
very much, it can stay up in the air
as it tags along
after its trainer."
177,6,9,"It is extremely
good at climbing
tree trunks and likes to eat the
new sprouts on
the trees."
178,6,9,"Once it begins to
meditate at sun�
rise, the entire day will pass
before it will
move again."
179,6,9,"It stores lots of
air in its soft
fur, allowing it to stay cool in
summer and warm
in winter."
180,6,9,"Because of its
rubbery, electric�
ity-resistant skin, it can store
lots of electric�
ity in its fur."
181,6,9,"When it gets dark,
the light from its
bright, shiny tail can be seen from
far away on the
ocean's surface."
182,6,9,"When these dance
together, their
petals rub against each other,
making pretty,
relaxing sounds."
183,6,9,"The fur on its
body naturally
repels water. It can stay dry, even
when it plays in
the water."
184,6,9,"The bubble-like
pattern on its
stomach helps it camouflage itself
when it's in the
water."
185,6,9,"If a tree branch
shakes when there
is no wind, it's a SUDOWOODO, not a
tree. It hides
from the rain."
186,6,9,"When it expands
its throat to
croak out a tune, nearby POLIWAG and
POLIWHIRL gather
immediately."
187,6,9,"It can be carried
away on even the
gentlest breeze. It may even float
all the way to the
next town."
188,6,9,"As soon as it
rains, it closes
its flower and hides in the shade
of a tree to avoid
getting wet."
189,6,9,"Even in the fierc�
est wind, it can
control its fluff to make its way to
any place in the
world it wants."
190,6,9,"It uses its tail
to hang on to tree
branches. It uses its momentum to
swing from one
branch to another."
191,6,9,"It is very weak.
Its only means of
defense is to shake its leaves
desperately at its
attacker."
192,6,9,"As the hot season
approaches, the
petals on this POKeMON's face
become more vivid
and lively."
193,6,9,"It can see in all
directions without
moving its big eyes, helping it
spot attackers and
food right away."
194,6,9,"A mucous
membrane covers
its body. Touching it barehanded will
cause a shooting
pain."
195,6,9,"Its body is always
slimy. It often
bangs its head on the river bottom
as it swims but
seems not to care."
196,6,9,"The tip of its
forked tail
quivers when it is predicting its
opponent's next
move."
197,6,9,"On the night of a
full moon, or when
it gets excited, the ring patterns
on its body glow
yellow."
198,6,9,"It hides any shiny
object it finds in
a secret location. MURKROW and
MEOWTH loot one
another's stashes."
199,6,9,"Every time it ya�
wns, SHELLDER
injects more poi� son into it. The
poison makes it
more intelligent."
200,6,9,"It loves to watch
people it's scar�
ed. It frightens them by screaming
loudly or appear�
ing suddenly."
201,6,9,"Because different
types of UNOWN
exist, it is said that they must
have a variety of
abilities."
202,6,9,"In order to con�
ceal its black
tail, it lives in a dark cave and
only moves about
at night."
203,6,9,"When it is in
danger, its tail
uses some sort of mysterious powers
to drive away the
enemy."
204,6,9,"It spits out a
fluid that it uses
to glue tree bark to its body. The
fluid hardens when
it touches air."
205,6,9,"Usually found
hanging on to a
fat tree trunk. It shoots out bits of
its shell when it
sees action."
206,6,9,"It hides deep
inside caves where
no light ever reaches it and
remains virtually
motionless there."
207,6,9,"It builds its nest
on a steep cliff.
When it is done gliding, it hops
along the ground
back to its nest."
208,6,9,"The many small
metal particles
that cover this POKeMON's body
reflect bright
light well."
209,6,9,"In truth, it is a
cowardly POKeMON.
It growls eagerly in order to hide
its fear from its
opponent."
210,6,9,"It can make most
any POKeMON run
away simply by opening its mouth
wide to reveal its
big fangs."
211,6,9,"When faced with a
larger opponent,
it swallows as much water as it
can to match the
opponent's size."
212,6,9,"This POKeMON's
pincers, which
contain steel, can crush any hard
object it gets a
hold of into bits."
213,6,9,"The fluid secreted
by its toes carves
holes in rocks for nesting and can be
mixed with BERRIES
to make a drink."
214,6,9,"With its Herculean
powers, it can
easily throw arou� nd an object that
is 100 times its
own weight."
215,6,9,"This cunning
POKeMON hides
under the cover of darkness,
waiting to attack
its prey."
216,6,9,"It always licks
honey. Its palm
tastes sweet because of all the
honey it has
absorbed."
217,6,9,"Although it has a
large body, it is
quite skilled at climbing trees. It
eats and sleeps in
the treetops."
218,6,9,"These group to�
gether in areas
that are hotter than normal. If it
cools off, its
skin hardens."
219,6,9,"Its body is as hot
as lava and is
always billowing. Flames will
occasionally burst
from its shell."
220,6,9,"It uses the tip of
its nose to dig
for food. Its nose is so tough that
even frozen ground
poses no problem."
221,6,9,"Although its legs
are short, its
rugged hooves prevent it from
slipping, even on
icy ground."
222,6,9,"The points on its
head absorb
nutrients from clean water. They
cannot survive in
polluted water."
223,6,9,"To escape from an
attacker, it may
shoot water out of its mouth, then
use that force to
swim backward."
224,6,9,"Its instinct is to
bury itself in
holes. It often steals the nesting
holes of others to
sleep in them."
225,6,9,"It always carries
its food with it,
wherever it goes. If attacked, it
throws its food at
the opponent."
226,6,9,"It swims along
freely, eating
things that swim into its mouth.
Its whole body is
very coarse."
227,6,9,"The feathers that
it sheds are very
sharp. It is said that people once
used the feathers
as swords."
228,6,9,"Around dawn, its
ominous howl
echoes through the area to announce
that this is its
territory."
229,6,9,"The pungent-
smelling flame
that shoots from its mouth results
from toxins burn�
ing in its body."
230,6,9,"It stores energy
by sleeping at
underwater depths at which no other
life forms can
survive."
231,6,9,"During the desert�
ed morning hours,
it comes ashore where it deftly
uses its trunk to
take a shower."
232,6,9,"Because this
POKeMON's skin is
so tough, a normal attack won't even
leave a scratch on
it."
233,6,9,"This manmade
POKeMON evolved
from the latest technology. It
may have unprog�
rammed reactions."
234,6,9,"The round balls
found on the
fallen antlers can be ground into a
powder that aids
in sleeping."
235,6,9,"The color of the
mysterious fluid
secreted from its tail is predeter�
mined for each
SMEARGLE."
236,6,9,"To brush up on its
fighting skills,
it will challenge anyone. It has a
very strong com�
petitive spirit."
237,6,9,"After doing a
handstand to
throw off the opponent's timing,
it presents its
fancy kick moves."
238,6,9,"The sensitivity of
its lips develops
most quickly. It uses them to
try to identify
unknown objects."
239,6,9,"It loves violent
thunder. The space
between its horns flickers bluish-
white when it is
charging energy."
240,6,9,"It naturally spits
an 1100-degree
flame. It is said when many appear,
it heralds a
volcanic eruption."
241,6,9,"In order to milk a
MILTANK, one must
have a knack for rhythmically pull�
ing up and down
on its udders."
242,6,9,"Biting into one
of the delicious
eggs that BLISSEY provides will make
everyone around
smile with joy."
243,6,9,"This rough POKeMON
stores energy
inside its body, then sweeps across
the land, shooting
off electricity."
244,6,9,"This brawny
POKeMON courses
around the earth, spouting flames
hotter than a
volcano's magma."
245,6,9,"This divine
POKeMON blows
around the world, always in search
of a pure
reservoir."
246,6,9,"Born deep under�
ground, this
POKeMON becomes a pupa after eating
enough dirt to
make a mountain."
247,6,9,"It will not stay
still, even while
it's a pupa. It already has arms
and legs under its
solid shell."
248,6,9,"In just one of its
mighty hands, it
has the power to make the ground
shake and moun�
tains crumble."
249,6,9,"It has an incred�
ible ability to
calm raging sto� rms. It is said
that LUGIA appears
when storms start."
250,6,9,"It will reveal
itself before a
pure-hearted trainer by shining
its bright rain�
bow-colored wings."
251,6,9,"Revered as a
guardian of the
forest, CELEBI appears wherever
beautiful forests
exist."
